Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",110530045,2371069,,,,,,,,,,11943936,5037363315,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",112902074,2487880,,,,,,,,,,11943936,4800848915,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",115402595,182893927,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,41646830
"Memcpy DtoH [async]",298308555,2425794,,,,,,,,,,11943936,4923722294,,,,,,,,,,,,,,,,,
