Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",113603231,46084,,,,,,,,,,200704,4355177501,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",113831506,44547,,,,,,,,,,200704,4505443688,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",113879542,270870,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70244
"Memcpy DtoH [sync]",114152236,39364,,,,,,,,,,200704,5098668834,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",114457062,39619,,,,,,,,,,200704,5065852242,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",115601637,45604,,,,,,,,,,200704,4401017454,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",115650697,273207,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70445
"Memcpy DtoH [sync]",115925696,39459,,,,,,,,,,200704,5086393471,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",116225593,39715,,,,,,,,,,200704,5053606949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",116414025,45411,,,,,,,,,,200704,4419722093,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",116462893,268662,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72131
"Memcpy DtoH [sync]",116733379,40612,,,,,,,,,,200704,4941987589,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117028380,40131,,,,,,,,,,200704,5001221001,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117233293,40803,,,,,,,,,,200704,4918854005,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",117277553,274166,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72017
"Memcpy DtoH [sync]",117553768,36995,,,,,,,,,,200704,5425165562,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117839839,40068,,,,,,,,,,200704,5009084556,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",118026575,39715,,,,,,,,,,200704,5053606949,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",118069747,269238,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70840
"Memcpy DtoH [sync]",118340809,38275,,,,,,,,,,200704,5243736120,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",118635426,40707,,,,,,,,,,200704,4930454221,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",118831346,39619,,,,,,,,,,200704,5065852242,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",118874422,272470,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72162
"Memcpy DtoH [sync]",119148716,38276,,,,,,,,,,200704,5243599122,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",119441157,39683,,,,,,,,,,200704,5057682130,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",119627156,40228,,,,,,,,,,200704,4989161777,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",119670840,276279,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71577
"Memcpy DtoH [sync]",119948911,38307,,,,,,,,,,200704,5239355731,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",120236551,39619,,,,,,,,,,200704,5065852242,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",120429975,40195,,,,,,,,,,200704,4993257867,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",120473691,273398,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70890
"Memcpy DtoH [sync]",120748914,37091,,,,,,,,,,200704,5411123992,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",121032393,40131,,,,,,,,,,200704,5001221001,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",121219225,40803,,,,,,,,,,200704,4918854005,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",121263516,267639,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70830
"Memcpy DtoH [sync]",121532979,38307,,,,,,,,,,200704,5239355731,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",121815946,40100,,,,,,,,,,200704,5005087281,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",122009466,39620,,,,,,,,,,200704,5065724381,,,,,,,,,,,,,,,,,
