Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",140295849,1724170,,,,,,,,,,5017600,2910153871,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",142617891,1590688,,,,,,,,,,5017600,3154358365,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",144212035,14392482,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",158606342,3478903,,,,,,,,,,5017600,1442293734,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",163102414,3234180,,,,,,,,,,5017600,1551428801,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",166904383,1606753,,,,,,,,,,5017600,3122819748,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",168514624,14386210,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",182902658,3413010,,,,,,,,,,5017600,1470139261,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",187329925,1667462,,,,,,,,,,5017600,3009124046,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",189589435,1665381,,,,,,,,,,5017600,3012884138,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",191258273,14392066,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",205652131,3014450,,,,,,,,,,5017600,1664515915,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",209731754,1547196,,,,,,,,,,5017600,3243028032,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",211847700,1584159,,,,,,,,,,5017600,3167358832,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",213435315,14408004,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",227845111,4450693,,,,,,,,,,5017600,1127374995,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",233335184,1605824,,,,,,,,,,5017600,3124626360,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",235505534,1548636,,,,,,,,,,5017600,3240012501,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",237057850,14388386,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",251448028,2962030,,,,,,,,,,5017600,1693973389,,,,,,,,,,,,,,,,,
