Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",114796653,4585295,,,,,,,,,,11943936,2604834803,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",119929864,4221106,,,,,,,,,,11943936,2829574997,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",124154554,188272305,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,43155323
"Memcpy DtoH [sync]",312428651,8162476,,,,,,,,,,11943936,1463273643,,,,,,,,,,,,,,,,,
