Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",196536831,1035858,,,,,,,,,,5017600,4843907176,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",197573489,1023601,,,,,,,,,,5017600,4901910021,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",198597858,1205567,,,,,,,,,,5017600,4162025005,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",198608450,14456084,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy HtoD [async]",199805857,1135577,,,,,,,,,,5017600,4418546694,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",200942202,1256259,,,,,,,,,,5017600,3994080838,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",202200926,1158203,,,,,,,,,,5017600,4332228460,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",203359897,1230305,,,,,,,,,,5017600,4078338298,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",204592794,1136666,,,,,,,,,,5017600,4414313439,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",205730260,1255427,,,,,,,,,,5017600,3996727806,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",206987415,1133017,,,,,,,,,,5017600,4428530198,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",208121360,1258436,,,,,,,,,,5017600,3987171377,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",209381620,1132217,,,,,,,,,,5017600,4431659302,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",210514765,1257091,,,,,,,,,,5017600,3991437374,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",211774032,1148859,,,,,,,,,,5017600,4367463718,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",212923851,1238786,,,,,,,,,,5017600,4050417101,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",213072983,14409007,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy HtoD [async]",214164429,1143578,,,,,,,,,,5017600,4387632500,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",215308999,1236577,,,,,,,,,,5017600,4057652697,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",216547273,1161915,,,,,,,,,,5017600,4318388178,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",217710116,1214592,,,,,,,,,,5017600,4131099167,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",218926468,1173277,,,,,,,,,,5017600,4276568960,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",220285327,1016048,,,,,,,,,,5017600,4938349369,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",227489511,14410192,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",227494631,1086006,,,,,,,,,,5017600,4620232300,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",241906967,14402352,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",241912344,1071476,,,,,,,,,,5017600,4682886037,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",256316615,14404752,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",256321768,1083701,,,,,,,,,,5017600,4630059398,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",270728791,14385390,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",270733944,1089814,,,,,,,,,,5017600,4604088404,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",285121542,14384366,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",285126502,1070069,,,,,,,,,,5017600,4689043416,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",299513460,14389935,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",299519701,1072660,,,,,,,,,,5017600,4677717077,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",313909699,1086198,,,,,,,,,,5017600,4619415612,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",314082289,14408943,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",328497313,1075349,,,,,,,,,,5017600,4666020054,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",328669263,14399439,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",343084383,1172124,,,,,,,,,,5017600,4280775754,,,,,,,,,,,,,,,,,
