Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",99683381,44964,,,,,,,,,,200704,4463659816,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",99905992,42884,,,,,,,,,,200704,4680160432,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",99952364,156845,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",100111034,39651,,,,,,,,,,200704,5061763889,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",100394225,39716,,,,,,,,,,200704,5053479705,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",100593250,40196,,,,,,,,,,200704,4993133645,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",100636870,146892,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",100785586,39460,,,,,,,,,,200704,5086264571,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",101071691,39651,,,,,,,,,,200704,5061763889,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",101256090,40228,,,,,,,,,,200704,4989161777,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",101299838,143660,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",101445322,37027,,,,,,,,,,200704,5420476949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",101713057,40163,,,,,,,,,,200704,4997236262,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",101911570,40771,,,,,,,,,,200704,4922714674,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",101955829,143052,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",102100737,37028,,,,,,,,,,200704,5420330560,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",102365560,40163,,,,,,,,,,200704,4997236262,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",102553096,39683,,,,,,,,,,200704,5057682130,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",102596235,144941,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",102743032,37027,,,,,,,,,,200704,5420476949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103008878,40804,,,,,,,,,,200704,4918733457,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103204319,39683,,,,,,,,,,200704,5057682130,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",103247458,146637,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",103395951,36995,,,,,,,,,,200704,5425165562,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103667526,39651,,,,,,,,,,200704,5061763889,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103854549,40228,,,,,,,,,,200704,4989161777,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",103898233,149037,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",104049062,37123,,,,,,,,,,200704,5406459607,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",104309244,39715,,,,,,,,,,200704,5053606949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",104504172,40100,,,,,,,,,,200704,5005087281,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",104547728,144652,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",104694396,37027,,,,,,,,,,200704,5420476949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",104958163,40195,,,,,,,,,,200704,4993257867,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",105142114,40772,,,,,,,,,,200704,4922593937,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",105186310,146284,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",105334418,37027,,,,,,,,,,200704,5420476949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",105596360,40196,,,,,,,,,,200704,4993133645,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",105788089,39651,,,,,,,,,,200704,5061763889,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",105831196,143756,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy DtoH [sync]",105976777,37027,,,,,,,,,,200704,5420476949,,,,,,,,,,,,,,,,,
