Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",93883652,45092,,,,,,,,,,200704,4450989088,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",94104759,42915,,,,,,,,,,200704,4676779680,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",94151099,274743,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71253
"Memcpy DtoH [sync]",94427666,39620,,,,,,,,,,200704,5065724381,,,,,,,,,,,,,,,,,
