Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",180771903,4459937,,,,,,,,,,11943936,2678050385,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",185791149,4346424,,,,,,,,,,11943936,2747991452,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",190141030,53045519,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",243188342,7890642,,,,,,,,,,11943936,1513683677,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",252390096,5097204,,,,,,,,,,11943936,2343232878,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",258058385,4327255,,,,,,,,,,11943936,2760164584,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",262389097,52889187,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",315280204,9168023,,,,,,,,,,11943936,1302782071,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",325799791,4196877,,,,,,,,,,11943936,2845910423,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",330554024,4187980,,,,,,,,,,11943936,2851956313,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",334745460,52878563,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",387625847,7569912,,,,,,,,,,11943936,1577817020,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",396646979,4328503,,,,,,,,,,11943936,2759368770,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",401534022,4206062,,,,,,,,,,11943936,2839695658,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",405743572,52912773,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",458658169,8146375,,,,,,,,,,11943936,1466165748,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",468127721,5341415,,,,,,,,,,11943936,2236099610,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",474057311,4600397,,,,,,,,,,11943936,2596283755,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",478661132,52897444,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",531560528,8455071,,,,,,,,,,11943936,1412635801,,,,,,,,,,,,,,,,,
