Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",143425518,1639170,,,,,,,,,,5017600,3061061390,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",145678497,1588639,,,,,,,,,,5017600,3158426804,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",147270624,27151794,140,140,1,8,8,1,13,548,0,,,0,0,0,17424,0,0,0,0,0,34848,4878720,0,4878720,0,4878720,0,7655750
"Memcpy DtoH [sync]",174424275,3127161,,,,,,,,,,5017600,1604522440,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",178569853,1734186,,,,,,,,,,5017600,2893345927,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",180866452,1544443,,,,,,,,,,5017600,3248808793,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",182414607,27030633,140,140,1,8,8,1,13,548,0,,,0,0,0,17424,0,0,0,0,0,34848,4878720,0,4878720,0,4878720,0,8318754
"Memcpy DtoH [sync]",209447512,3653411,,,,,,,,,,5017600,1373401459,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",214144590,1506136,,,,,,,,,,5017600,3331438860,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",216222516,1557660,,,,,,,,,,5017600,3221242119,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",217783664,27178645,140,140,1,8,8,1,13,548,0,,,0,0,0,17424,0,0,0,0,0,34848,4878720,0,4878720,0,4878720,0,7669119
"Memcpy DtoH [sync]",244964133,3430929,,,,,,,,,,5017600,1462461041,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",249457355,1584254,,,,,,,,,,5017600,3167168900,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",251612534,1561629,,,,,,,,,,5017600,3213055085,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",253177619,27267420,140,140,1,8,8,1,13,548,0,,,0,0,0,17424,0,0,0,0,0,34848,4878720,0,4878720,0,4878720,0,7707343
"Memcpy DtoH [sync]",280446895,3460404,,,,,,,,,,5017600,1450004103,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",284973719,1521946,,,,,,,,,,5017600,3296831819,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",287057053,1540443,,,,,,,,,,5017600,3257244831,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",288601016,27618872,140,140,1,8,8,1,13,548,0,,,0,0,0,17424,0,0,0,0,0,34848,4878720,0,4878720,0,4878720,0,8236485
"Memcpy DtoH [sync]",316221712,3653955,,,,,,,,,,5017600,1373196987,,,,,,,,,,,,,,,,,
