Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",106685580,51461,,,,,,,,,,200704,3900118536,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",106737265,80102,,,,,,,,,,200704,2505605353,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",106817623,662648,,,,,,,,,,200704,302881771,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",107325410,159661,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy HtoD [async]",107482671,50020,,,,,,,,,,200704,4012475009,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",107532883,84583,,,,,,,,,,200704,2372864523,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",107617690,189968,,,,,,,,,,200704,1056514781,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",107657342,145516,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy HtoD [async]",107810058,51973,,,,,,,,,,200704,3861697419,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",107862255,80422,,,,,,,,,,200704,2495635522,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",107942901,204946,,,,,,,,,,200704,979301864,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",107988089,150573,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",108144422,149901,14,14,1,16,16,1,13,2084,0,,,0,0,352,0,0,0,0,9856,0,1408,9856,0,0,0,9856,0,0
"Memcpy HtoD [async]",108150215,55076,,,,,,,,,,200704,3644128113,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",108205515,86312,,,,,,,,,,200704,2325331356,,,,,,,,,,,,,,,,,
