Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",98622805,824133,,,,,,,,,,2985984,3623182180,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",100131635,882091,,,,,,,,,,2985984,3385120129,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",101017214,6642670,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",107661676,1686477,,,,,,,,,,2985984,1770545343,,,,,,,,,,,,,,,,,
