Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",131842390,717753,,,,,,,,,,2985984,4160183238,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",132561104,735995,,,,,,,,,,2985984,4057071039,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",133297867,855365,,,,,,,,,,2985984,3490888684,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",133311724,12604889,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3512751
"Memcpy HtoD [async]",134154928,678359,,,,,,,,,,2985984,4401775461,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",134835079,717402,,,,,,,,,,2985984,4162218672,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",135553441,718138,,,,,,,,,,2985984,4157952928,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",136272507,722042,,,,,,,,,,2985984,4135471343,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",136995509,722266,,,,,,,,,,2985984,4134188789,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",137718896,870054,,,,,,,,,,2985984,3431952499,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",138590966,747964,,,,,,,,,,2985984,3992149354,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",145924069,12560597,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3506622
"Memcpy DtoH [async]",145929318,672310,,,,,,,,,,2985984,4441379720,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",158491995,12544372,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3509962
"Memcpy DtoH [async]",158496763,671479,,,,,,,,,,2985984,4446876223,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",171043407,12600057,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3515614
"Memcpy DtoH [async]",171046160,670070,,,,,,,,,,2985984,4456226961,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",183650504,12507217,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3520909
"Memcpy DtoH [async]",183650888,669846,,,,,,,,,,2985984,4457717146,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",196171066,664118,,,,,,,,,,2985984,4496164838,,,,,,,,,,,,,,,,,
