Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",176217773,821281,,,,,,,,,,2985984,3635764129,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",177715492,1010512,,,,,,,,,,2985984,2954921861,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",178729524,12501087,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3527326
"Memcpy DtoH [sync]",191232435,1700743,,,,,,,,,,2985984,1755693834,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",194159131,734682,,,,,,,,,,2985984,4064321706,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",195470883,819361,,,,,,,,,,2985984,3644283777,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",196293732,12548771,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3512383
"Memcpy DtoH [sync]",208844327,1842578,,,,,,,,,,2985984,1620546864,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",211774415,721530,,,,,,,,,,2985984,4138405887,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",213071158,799232,,,,,,,,,,2985984,3736066623,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",213873846,12526497,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3509842
"Memcpy DtoH [sync]",226402167,2194318,,,,,,,,,,2985984,1360779978,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",229640696,726361,,,,,,,,,,2985984,4110881503,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",230949599,786463,,,,,,,,,,2985984,3796725338,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",231739582,12573221,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3514748
"Memcpy DtoH [sync]",244314659,2047170,,,,,,,,,,2985984,1458591128,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",247411000,755740,,,,,,,,,,2985984,3951073120,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",248757091,799327,,,,,,,,,,2985984,3735622592,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",249559875,12467324,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3514385
"Memcpy DtoH [sync]",262029023,1568028,,,,,,,,,,2985984,1904292525,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",264651055,723001,,,,,,,,,,2985984,4129985988,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",265945366,804735,,,,,,,,,,2985984,3710518369,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",266753558,12570916,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3513268
"Memcpy DtoH [sync]",279326298,1555228,,,,,,,,,,2985984,1919965432,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",281941258,731130,,,,,,,,,,2985984,4084067128,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",283244337,808992,,,,,,,,,,2985984,3690993236,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",284056753,12522689,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3512516
"Memcpy DtoH [sync]",296581298,1669604,,,,,,,,,,2985984,1788438456,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",299341709,723353,,,,,,,,,,2985984,4127976243,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",300635667,806112,,,,,,,,,,2985984,3704180064,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",301445236,12544258,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3518421
"Memcpy DtoH [sync]",313991318,1736906,,,,,,,,,,2985984,1719139665,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",316831383,718169,,,,,,,,,,2985984,4157773448,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",318130654,794815,,,,,,,,,,2985984,3756828947,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",318928990,12587205,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3522367
"Memcpy DtoH [sync]",331518020,2276724,,,,,,,,,,2985984,1311526561,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",334956500,778526,,,,,,,,,,2985984,3835432599,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",336348898,853988,,,,,,,,,,2985984,3496517515,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",337206342,12510496,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3518978
"Memcpy DtoH [sync]",349718630,2052771,,,,,,,,,,2985984,1454611352,,,,,,,,,,,,,,,,,
