Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",186631712,5164086,,,,,,,,,,11943936,2312884797,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",192400357,4683024,,,,,,,,,,11943936,2550475077,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",197086837,180956879,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,42757498
"Memcpy DtoH [sync]",378045604,8174467,,,,,,,,,,11943936,1461127190,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",387535726,4210539,,,,,,,,,,11943936,2836676254,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",392305477,5467790,,,,,,,,,,11943936,2184417470,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",397776723,189171925,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,42994650
"Memcpy DtoH [sync]",586950632,9290554,,,,,,,,,,11943936,1285599976,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",597662002,4507970,,,,,,,,,,11943936,2649515413,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",602772163,4506339,,,,,,,,,,11943936,2650474365,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",607281990,183118649,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,43607564
"Memcpy DtoH [sync]",790402431,9045031,,,,,,,,,,11943936,1320496966,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",800853364,4201258,,,,,,,,,,11943936,2842942756,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",805613802,4209163,,,,,,,,,,11943936,2837603580,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",809826421,189078798,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,43204969
"Memcpy DtoH [sync]",998907043,8239655,,,,,,,,,,11943936,1449567487,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1008472979,4274800,,,,,,,,,,11943936,2794033872,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1013843897,4563174,,,,,,,,,,11943936,2617462318,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",1018410560,183291046,216,216,1,8,8,1,13,548,0,,,0,0,0,41472,0,0,0,0,0,82944,17915904,0,17915904,0,17915904,0,42787515
"Memcpy DtoH [sync]",1201703430,8242024,,,,,,,,,,11943936,1449150839,,,,,,,,,,,,,,,,,
