Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",147784971,1020178,,,,,,,,,,5017600,4918357384,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",148806077,1066134,,,,,,,,,,5017600,4706350233,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",149872979,1194496,,,,,,,,,,5017600,4200600085,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",149886836,14419879,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy HtoD [async]",151069139,1039508,,,,,,,,,,5017600,4826898879,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",152109575,1327018,,,,,,,,,,5017600,3781109223,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",153438417,1142620,,,,,,,,,,5017600,4391311197,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",154582189,1219234,,,,,,,,,,5017600,4115370798,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",155803343,1145308,,,,,,,,,,5017600,4381004934,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",156949611,1216002,,,,,,,,,,5017600,4126309002,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",158167309,1350157,,,,,,,,,,5017600,3716308547,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",164313787,14403045,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",164317179,1019090,,,,,,,,,,5017600,4923608317,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",178723457,1081783,,,,,,,,,,5017600,4638268488,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",178895983,14384003,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",193286739,1071862,,,,,,,,,,5017600,4681199632,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",193459329,14397989,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",207864742,14404038,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [async]",207870663,1099768,,,,,,,,,,5017600,4562416800,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",222282093,1158717,,,,,,,,,,5017600,4330306709,,,,,,,,,,,,,,,,,
