Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",134814866,845892,,,,,,,,,,2985984,3529982550,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",136334157,881767,,,,,,,,,,2985984,3386363971,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",137219349,6644251,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",143865392,1701546,,,,,,,,,,2985984,1754865281,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",147227681,792513,,,,,,,,,,2985984,3767741349,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",148621747,830883,,,,,,,,,,2985984,3593747856,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",149456054,6619802,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",156077680,1634533,,,,,,,,,,2985984,1826811694,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",158826799,765566,,,,,,,,,,2985984,3900361301,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",160192190,831139,,,,,,,,,,2985984,3592640942,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",161026818,6615257,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",167643867,1692041,,,,,,,,,,2985984,1764723195,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",170432029,713754,,,,,,,,,,2985984,4183491791,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",171714309,781728,,,,,,,,,,2985984,3819722461,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",172499493,6613273,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",179114590,1791954,,,,,,,,,,2985984,1666328488,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",182033451,787232,,,,,,,,,,2985984,3793016544,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",183426844,831364,,,,,,,,,,2985984,3591668631,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",184261664,6613049,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",190876505,1718636,,,,,,,,,,2985984,1737415019,,,,,,,,,,,,,,,,,
