Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",173606449,812673,,,,,,,,,,2985984,3674274892,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",175067877,888007,,,,,,,,,,2985984,3362568087,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",175959340,6645551,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",182606715,2068388,,,,,,,,,,2985984,1443628564,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",185775319,773181,,,,,,,,,,2985984,3861946943,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",187154500,839811,,,,,,,,,,2985984,3555542854,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",187997735,6613261,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",194613204,2298998,,,,,,,,,,2985984,1298819746,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",198106857,783678,,,,,,,,,,2985984,3810217972,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",199503320,861316,,,,,,,,,,2985984,3466769455,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",200368092,6611149,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",206981033,2357563,,,,,,,,,,2985984,1266555337,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",210439131,1584478,,,,,,,,,,2985984,1884522221,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",212651755,870341,,,,,,,,,,2985984,3430820793,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",213525552,6613677,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",220141053,1624001,,,,,,,,,,2985984,1838658966,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",222916953,764861,,,,,,,,,,2985984,3903956405,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",224280165,840195,,,,,,,,,,2985984,3553917840,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",225123848,6619374,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",231745430,2790301,,,,,,,,,,2985984,1070129710,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",235595239,723962,,,,,,,,,,2985984,4124503772,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",236890094,792063,,,,,,,,,,2985984,3769881941,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",237685805,6619245,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",244307002,2231825,,,,,,,,,,2985984,1337911350,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",247625090,782110,,,,,,,,,,2985984,3817856823,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",249010223,848932,,,,,,,,,,2985984,3517341789,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",249862611,6611757,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",256476160,1600991,,,,,,,,,,2985984,1865084813,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",259158293,758524,,,,,,,,,,2985984,3936571552,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",260518144,844611,,,,,,,,,,2985984,3535336385,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",261366212,6618285,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",267986321,1690630,,,,,,,,,,2985984,1766196033,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",270900728,768637,,,,,,,,,,2985984,3884777860,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",272278021,853252,,,,,,,,,,2985984,3499533549,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",273134729,6615405,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",279751990,1822001,,,,,,,,,,2985984,1638848716,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",282713281,768477,,,,,,,,,,2985984,3885586686,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",284099439,846564,,,,,,,,,,2985984,3527180461,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",284949459,6613772,54,54,1,16,16,1,13,2084,0,,,0,0,5184,0,0,0,0,559872,0,20736,559872,0,0,0,559872,0,0
"Memcpy DtoH [sync]",291565056,1631489,,,,,,,,,,2985984,1830220124,,,,,,,,,,,,,,,,,
