Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",191125637,2366300,,,,,,,,,,11943936,5047515530,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",193492897,2414208,,,,,,,,,,11943936,4947351678,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",195907873,2558028,,,,,,,,,,11943936,4669196740,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",195918850,53070082,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy HtoD [async]",198467981,2435906,,,,,,,,,,11943936,4903282803,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",200904847,2790975,,,,,,,,,,11943936,4279485126,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",203696846,2760283,,,,,,,,,,11943936,4327069362,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",206458089,2819681,,,,,,,,,,11943936,4235917467,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",209278794,2938954,,,,,,,,,,11943936,4064009167,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",212219956,2745147,,,,,,,,,,11943936,4350927655,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",214966863,2751035,,,,,,,,,,11943936,4341615428,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",248995748,2369565,,,,,,,,,,11943936,5040560609,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",249168786,52923606,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",302099784,52985467,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [async]",302104937,2442530,,,,,,,,,,11943936,4889985384,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",355092708,52955992,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [async]",355097508,2699863,,,,,,,,,,11943936,4423904472,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",408055804,52978042,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [async]",408058205,2692886,,,,,,,,,,11943936,4435366369,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",461047127,2770557,,,,,,,,,,11943936,4311023379,,,,,,,,,,,,,,,,,
