Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",195891881,2715894,,,,,,,,,,5017600,1847494784,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",199212495,1857138,,,,,,,,,,5017600,2701791681,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",201073281,14414606,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",215489999,3781386,,,,,,,,,,5017600,1326920869,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",220357262,1519832,,,,,,,,,,5017600,3301417525,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",222445459,1560955,,,,,,,,,,5017600,3214442440,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",224009870,14420623,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",238432285,3619548,,,,,,,,,,5017600,1386250437,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",243118861,1538073,,,,,,,,,,5017600,3262263884,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",245224019,1650370,,,,,,,,,,5017600,3040287935,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",246877877,14391053,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",261270754,3131254,,,,,,,,,,5017600,1602425098,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",265424137,1509462,,,,,,,,,,5017600,3324098254,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",267496588,1565947,,,,,,,,,,5017600,3204195288,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",269065991,14383308,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",283451123,3610908,,,,,,,,,,5017600,1389567388,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",288091712,1511319,,,,,,,,,,5017600,3320013842,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",290166723,1559899,,,,,,,,,,5017600,3216618511,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",291730078,14389389,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",306121323,3861360,,,,,,,,,,5017600,1299438539,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",311138038,1650209,,,,,,,,,,5017600,3040584556,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",313491919,1571323,,,,,,,,,,5017600,3193232708,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",315066699,14389932,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",329458455,3954071,,,,,,,,,,5017600,1268970638,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",334496036,1515991,,,,,,,,,,5017600,3309782182,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",336569415,1556186,,,,,,,,,,5017600,3224293240,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",338129057,14412367,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",352543216,3976473,,,,,,,,,,5017600,1261821719,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",357692293,1630432,,,,,,,,,,5017600,3077466585,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",359926677,1692165,,,,,,,,,,5017600,2965195474,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",361622298,14388076,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",376012326,3355880,,,,,,,,,,5017600,1495166692,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",380468901,1501270,,,,,,,,,,5017600,3342236906,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",382532199,1557755,,,,,,,,,,5017600,3221045671,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",384093442,14407214,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",398502480,4981160,,,,,,,,,,5017600,1007315565,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",404819745,1660291,,,,,,,,,,5017600,3022120820,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",407086355,1697926,,,,,,,,,,5017600,2955134676,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",408787737,14400557,70,70,1,16,16,1,13,2084,0,,,0,0,8720,0,0,0,0,1220800,0,34880,1220800,0,0,0,1220800,0,0
"Memcpy DtoH [sync]",423190279,3887121,,,,,,,,,,5017600,1290826809,,,,,,,,,,,,,,,,,
