Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",140981030,833315,,,,,,,,,,2985984,3583259631,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",142465854,895880,,,,,,,,,,2985984,3333017814,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",143365190,12546932,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3514669
"Memcpy DtoH [sync]",155913946,1656678,,,,,,,,,,2985984,1802392498,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",158674073,758749,,,,,,,,,,2985984,3935404198,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",160035687,831107,,,,,,,,,,2985984,3592779269,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",160870250,12546996,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3509028
"Memcpy DtoH [sync]",173419039,1587072,,,,,,,,,,2985984,1881442051,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",176083349,768222,,,,,,,,,,2985984,3886876449,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",177480006,791232,,,,,,,,,,2985984,3773841300,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",178274694,12547188,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3516080
"Memcpy DtoH [sync]",190823675,1550557,,,,,,,,,,2985984,1925749263,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",193482257,765502,,,,,,,,,,2985984,3900687392,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",194849631,832803,,,,,,,,,,2985984,3585462588,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",195685891,12549332,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3500266
"Memcpy DtoH [sync]",208237047,1723627,,,,,,,,,,2985984,1732384094,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",211018904,729210,,,,,,,,,,2985984,4094820422,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",212318400,791936,,,,,,,,,,2985984,3770486503,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",213113825,12538707,108,108,1,8,8,1,13,548,0,,,0,0,0,10368,0,0,0,0,0,20736,2239488,0,2239488,0,2239488,0,3496566
"Memcpy DtoH [sync]",225654356,2137773,,,,,,,,,,2985984,1396773184,,,,,,,,,,,,,,,,,
